Stock,MSE,MAE,RMSE,MAPE
SBUX,0.142195463180542,0.35041409730911255,0.37708812952041626,0.5304300785064697
TXN,0.03825857490301132,0.17389170825481415,0.19559799134731293,0.20913287997245789
NTES,0.17846305668354034,0.4188138246536255,0.42244887351989746,0.5025595426559448
MRVL,0.14879776537418365,0.37621694803237915,0.3857431411743164,0.4809052050113678
KLAC,0.17132537066936493,0.3983083665370941,0.41391468048095703,0.5446256399154663
AAPL,0.1929093301296234,0.41909271478652954,0.43921443819999695,0.5413942933082581
GOOGL,0.05969059467315674,0.22163382172584534,0.24431659281253815,0.27654069662094116
AMAT,0.08819799870252609,0.27594858407974243,0.29698148369789124,0.3947301506996155
PAYX,0.20883752405643463,0.43761146068573,0.4569874405860901,0.6581859588623047
MAR,0.1026257574558258,0.28697893023490906,0.32035255432128906,0.7189759016036987
MSFT,0.04589046537876129,0.21012574434280396,0.21422059834003448,0.23949004709720612
DXCM,0.4769609570503235,0.6852651834487915,0.6906235814094543,0.811168372631073
BIIB,0.01882314309477806,0.10579070448875427,0.13719746470451355,0.29593807458877563
CMCSA,0.034221500158309937,0.15175050497055054,0.1849905401468277,0.19538886845111847
EBAY,0.1633910834789276,0.39525923132896423,0.40421661734580994,0.48637765645980835
ATVI,0.1034308597445488,0.31248152256011963,0.32160669565200806,0.3868630826473236
ADSK,0.07909607142210007,0.2633024752140045,0.28124022483825684,0.3335738480091095
ADI,0.009417926892638206,0.08603443950414658,0.09704600274562836,0.11581874638795853
FISV,0.05958828330039978,0.22645647823810577,0.24410711228847504,0.3111187815666199
CTSH,0.05591072142124176,0.1958383023738861,0.23645448684692383,0.3549864888191223
QCOM,0.1902150958776474,0.4074713885784149,0.43613654375076294,0.6205974817276001
ADBE,0.11022830754518509,0.3237033784389496,0.3320064842700958,0.38117459416389465
CDNS,0.015678249299526215,0.10665932297706604,0.12521281838417053,0.14941929280757904
FTNT,0.035830408334732056,0.16111955046653748,0.18928921222686768,0.18693219125270844
